Experiment,Recovered,Mooring,StartDate,EndDate
kissme,kissme_recovery,sp250,1/04/2017 9:00,21/05/2017 23:30
kissme,kissme_recovery,sp250-lander,1/04/2017 9:00,21/05/2017 23:30
kissme,kissme_recovery,np250,2/04/2017 9:00,21/05/2017 23:30
kissme,kissme_recovery,wp250,2/04/2017 9:00,21/05/2017 23:30
