Project,Trip,StationID,Profiler in [DateUTC],Profiler in [TimeUTC],Profiler out [TimeUTC],Profiler in [Lat],Profiler in [Lon],Filename,InstrumentType,,,Cast Depth Screen (m),Depth Sounder (m),Total Depth (m),Comment,UWA Bottles,LISST Raw Filename,,LISST NC Filename,,UWA Niskin Bottle No. + Depth (m)
KISSME2017,KISSME2017Deployment,SP250_12hr,3/04/2017,9:03,9:17,,,SP250_12hr_016,Solander CTD,,,250,255,257,,,L0930839,,L0930839-A_rs,,
KISSME2017,KISSME2017Deployment,SP250_12hr,3/04/2017,9:18,9:28,,,SP250_12hr_017,Solander CTD,,,250,256,258,,,L0930839,,L0930839-B_rs,,
KISSME2017,KISSME2017Deployment,SP250_12hr,3/04/2017,9:32,9:47,,,SP250_12hr_018,Solander CTD,,,248,256,258,CSIRO 1 bottle (bottom),,L0930839,,L0930839-C_rs,,
KISSME2017,KISSME2017Deployment,UWAB,4/04/2017,1:16,1:33,,,UWAB-001,Solander CTD,,,245,254,256,"UWAB refers to 250m shelf break, sediment Grab, CSIRO 6 bottles",,L0940112,,L0940112_rs,,
KISSME2017,KISSME2017Deployment,UWAB,4/04/2017,2:14,2:28,,,UWAB-002,Solander CTD,,,249,254,256,,,L0940213,,L0940213-A_rs,,
KISSME2017,KISSME2017Deployment,UWAB,4/04/2017,2:29,2:39,,,UWAB-003,Solander CTD,,,249,256,258,,,L0940213,,L0940213-B_rs,,
KISSME2017,KISSME2017Deployment,UWAB,4/04/2017,2:40,2:50,,,UWAB-004,Solander CTD,,,248,256,258,,,L0940213,,L0940213-C_rs,,
KISSME2017,KISSME2017Deployment,UWAB,4/04/2017,2:52,3:03,,,UWAB-005,Solander CTD,,,249,256,258,,,L0940213,,L0940213-D_rs,,
KISSME2017,KISSME2017Deployment,UWAB,4/04/2017,3:03,3:13,,,UWAB-006,Solander CTD,,,249,256,258,,,L0940213,,L0940213-E_rs,,
KISSME2017,KISSME2017Deployment,UWAB,4/04/2017,3:24,3:41,,,UWAB-007,Solander CTD,,,256,266,268,CSIRO 6 bottles,,L0940213,,L0940213-F_rs,,
KISSME2017,KISSME2017Deployment,UWAB,4/04/2017,5:01,5:17,,,UWAB-008,Solander CTD,,,247,256,258,CSIRO 6 bottles,,L0940500,,L0940500_rs,,
KISSME2017,KISSME2017Deployment,UWAB,4/04/2017,6:06,6:20,,,UWAB-009,Solander CTD,,,247,257,259,,,L0940600,,L0940600-A_rs,,
KISSME2017,KISSME2017Deployment,UWAB,4/04/2017,6:21,6:32,,,UWAB-010,Solander CTD,,,248,257,259,,,L0940600,,L0940600-B_rs,,
KISSME2017,KISSME2017Deployment,UWAB,4/04/2017,6:32,6:43,,,UWAB-011,Solander CTD,,,247,257,259,,,L0940600,,L0940600-C_rs,,
KISSME2017,KISSME2017Deployment,UWAB,4/04/2017,6:44,7:01,,,UWAB-012,Solander CTD,,,248,258,260,UWA 6 bottles,,L0940600,,L0940600-D_rs,,"248 (1), 221 (2), 211 (3), 180 (4), 155 (5), 125 (6)"
KISSME2017,KISSME2017Deployment,UWAB,4/04/2017,7:23,7:37,,,UWAB-013,Solander CTD,,,248,259,261,Intensive Profiling,,L0940712,,L0940712-A_rs,,
KISSME2017,KISSME2017Deployment,UWAB,4/04/2017,7:38,7:49,,,UWAB-014,Solander CTD,,,248,258,260,,,L0940712,,L0940712-B_rs,,
KISSME2017,KISSME2017Deployment,UWAB,4/04/2017,7:50,8:00,,,UWAB-015,Solander CTD,,,246,257,259,,,L0940712,,L0940712-C_rs,,
KISSME2017,KISSME2017Deployment,UWAB,4/04/2017,8:01,8:14,,,UWAB-016,Solander CTD,,,250,258,260,,,L0940712,,L0940712-D_rs,,
KISSME2017,KISSME2017Deployment,UWAB_transect,5/04/2017,0:50,1:05,,,UWAB-Transect-001,Solander CTD,,,148,153,155,"Site B1, CSIRO 6 bottles",,L0950035,,L0950035_rs,,
KISSME2017,KISSME2017Deployment,UWAB_transect,5/04/2017,1:56,2:09,,,UWAB-Transect-002,Solander CTD,,,152,153,155,UWA 10 bottles,,L0950139,,L0950139_rs,,"152 (1+2), 122 (3+4), 90 (5+6), 61 (7+8), 30 (9+10)"
KISSME2017,KISSME2017Deployment,UWAB_transect,5/04/2017,3:04,3:20,,,UWAB-Transect-003,Solander CTD,,,174,178,180,"Site B2, CSIRO 6 bottles",,L0950303,,L0950303_rs,,
KISSME2017,KISSME2017Deployment,UWAB_transect,5/04/2017,4:31,4:44,,,UWAB-Transect-004,Solander CTD,,,193,202,204,Site B3,,L0950414,,L0950414_rs,,
KISSME2017,KISSME2017Deployment,UWAB_transect,5/04/2017,5:22,5:39,,,UWAB-Transect-005,Solander CTD,,,220,230,232,"Site B4,CSIRO 6 bottles",,L0950511,,L0950511_rs,,
KISSME2017,KISSME2017Deployment,UWAB_transect,5/04/2017,6:26,6:46,,,UWAB-Transect-006,Solander CTD,,,224,231,233,UWA 5 bottles,,L0950619,,L0950619_rs,,"224 (1), 193.5 (2), 179 (3), 159 (4), 126.5 (5)"
KISSME2017,KISSME2017Deployment,UWAB_transect,5/04/2017,7:28,7:44,,,UWAB-Transect-007,Solander CTD,,,241,252,254,Site B5,,L0950714,,L0950714_rs,,
KISSME2017,KISSME2017Deployment,SP250_12hr_neap,5/04/2017,22:21,22:34,,,SP250_12hr_neap_001,Solander CTD,,,248,259,261,LISST rectified to prevent 3s warmup i.e. now samples at 1Hz,,L0952219,,L0952219-A_rs,,
KISSME2017,KISSME2017Deployment,SP250_12hr_neap,5/04/2017,22:35,22:45,,,SP250_12hr_neap_002,Solander CTD,,,247,259,261,,,L0952219,,L0952219-B_rs,,
KISSME2017,KISSME2017Deployment,SP250_12hr_neap,5/04/2017,22:45,22:57,,,SP250_12hr_neap_003,Solander CTD,,,248,259,261,UWA 7 bottles,Y,L0952219,,L0952219-C_rs,,"247 (1), 226 (2), 201 (3+4), 176 (5+6), 141 (7)"
KISSME2017,KISSME2017Deployment,SP250_12hr_neap,5/04/2017,23:28,23:41,,,SP250_12hr_neap_004,Solander CTD,,,249,259,261,,,L0952324,,L0952324-A_rs,,
KISSME2017,KISSME2017Deployment,SP250_12hr_neap,5/04/2017,23:42,23:52,,,SP250_12hr_neap_005,Solander CTD,,,249,259,261,,,L0952324,,L0952324-B_rs,,
KISSME2017,KISSME2017Deployment,SP250_12hr_neap,5/04/2017,23:52,0:02,,,SP250_12hr_neap_006,Solander CTD,,,249,259,261,,,L0952324,,L0952324-C_rs,,
KISSME2017,KISSME2017Deployment,SP250_12hr_neap,6/04/2017,0:36,0:49,,,SP250_12hr_neap_007,Solander CTD,,,249,257,259,,,L0960033,,L0960033-A_rs,,
KISSME2017,KISSME2017Deployment,SP250_12hr_neap,6/04/2017,0:49,1:02,,,SP250_12hr_neap_008,Solander CTD,,,250,257,259,CSIRO 6 bottles,,L0960033,,L0960033-B_rs,,
KISSME2017,KISSME2017Deployment,SP250_12hr_neap,6/04/2017,2:33,2:47,,,SP250_12hr_neap_009,Solander CTD,,,248,257,259,,,,,,,
